Entry,Antibody name,Type,IC50,EC50,Binding Affinity (KD),Neutralizes,Viral protein:epitope,PMID,Year,Structures,Mutational profile
ABSe0050,C003,Ab,313.79 ng/ml,6.3655 ng/ml,,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,,
ABSe0051,C004,Ab,10.67 ng/ml,2.385 ng/ml,19,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,,
ABSe0052,C005,Ab,60.49 ng/ml,4.405 ng/ml,,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,,
ABSe0053,C006,Ab,321.51 ng/ml,1.809 ng/ml,,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,,
ABSe0054,C008,Ab,625.46 ng/ml,4.629 ng/ml,,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,,
ABSe0055,C009,Ab,4.82 ng/ml,1.799 ng/ml,,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,,
ABSe0056,C013,Ab,42.47 ng/ml,2.591 ng/ml,,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,,
ABSe0057,C017,Ab,72.67 ng/ml,1.633 ng/ml,,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,,
ABSe0058,C022,Ab,73.57 ng/ml,2.399 ng/ml,,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,,
ABSe0059,C101,Ab,8.19 ng/ml,1.513 ng/ml,,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,,
ABSe0060,C102,Ab,34.03 ng/ml,4.541 ng/ml,27,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,7K8N,IF0089
ABSe0061,C103,Ab,4.38 ng/ml,3.771 ng/ml,,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,,
ABSe0062,C104,Ab,23.3 ng/ml,8.305 ng/ml,,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,,
ABSe0063,C105,Ab,26.09 ng/ml,5.201 ng/ml,14,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,6XCA,IF0004
ABSe0064,C108,Ab,480.69 ng/ml,5.315 ng/ml,,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,,
ABSe0065,C110,Ab,18.44 ng/ml,7.289 ng/ml,1.3,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,7K8P,IF0024
ABSe0066,C112,Ab,111.78 ng/ml,3.384 ng/ml,,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,,
ABSe0067,C115,Ab,198.33 ng/ml,3.395 ng/ml,,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,,
ABSe0068,C117,Ab,347.99 ng/ml,5.377 ng/ml,,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,,
ABSe0069,C118,Ab,103.68 ng/ml,3.452 ng/ml,,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,,
ABSe0070,C119,Ab,9.12 ng/ml,3.573 ng/ml,10,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,7K8W,IF0025
ABSe0071,C120,Ab,13.26 ng/ml,1.407 ng/ml,,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,,
ABSe0072,C121,Ab,6.73 ng/ml,2.846 ng/ml,0.5,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,7K8Q,IF0026
ABSe0073,C122,Ab,22.8 ng/ml,2.666 ng/ml,,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,,
ABSe0074,C123,Ab,149.22 ng/ml,1.919 ng/ml,,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,,
ABSe0075,C124,Ab,341.82 ng/ml,2.225 ng/ml,,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,,
ABSe0076,C125,Ab,43.32 ng/ml,1.866 ng/ml,,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,,
ABSe0077,C127,Ab,68.74 ng/ml,2.623 ng/ml,,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,,
ABSe0078,C128,Ab,101.22 ng/ml,1.951 ng/ml,,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,,
ABSe0079,C131,Ab,30.52 ng/ml,1.666 ng/ml,,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,,
ABSe0080,C132,Ab,708.67 ng/ml,2.917 ng/ml,,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,,
ABSe0081,C135,Ab,16.61 ng/ml,1.798 ng/ml,6,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,7K8R,IF0027
ABSe0082,C140,Ab,23.88 ng/ml,2.186 ng/ml,,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,,
ABSe0083,C144,Ab,6.91 ng/ml,3.235 ng/ml,18,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,7K90,IF0028
ABSe0084,C145,Ab,3.04 ng/ml,3.858 ng/ml,,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,,
ABSe0085,C151,Ab,31.79 ng/ml,4.299 ng/ml,,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,,
ABSe0086,C153,Ab,31.79 ng/ml,3.174 ng/ml,,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,,
ABSe0087,C154,Ab,435.5 ng/ml,2.919 ng/ml,,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,,
ABSe0088,C155,Ab,11 ng/ml,3.298 ng/ml,,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,,
ABSe0089,C164,Ab,239.15 ng/ml,2.062 ng/ml,,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,,
ABSe0090,C165,Ab,40.81 ng/ml,4.253 ng/ml,,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,,
ABSe0091,C207,Ab,158.52 ng/ml,1.865 ng/ml,,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,,
ABSe0092,C210,Ab,50.73 ng/ml,2.831 ng/ml,,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,,
ABSe0093,C211,Ab,12.79 ng/ml,2.821 ng/ml,,SARS-CoV-2,S: RBD,32555388 (ng/ml),2020,,
ABSe0096,1M-1D2,Ab,25000 ng/ml,28000 ng/ml,108,SARS-CoV-2,S: RBD,32571838 (ng/ml),2020,,
ABSe0097,1B07,Ab,<500 ng/ml, ,,SARS-CoV-2,S: RBD,32591393 (),2020,,
ABSe0098,1B10,Ab,<500 ng/ml, ,,SARS-CoV-2,S: RBD,32591393 (),2020,,
ABSe0099,10000000,Ab,<500 ng/ml, ,,SARS-CoV-2,S: RBD,32591393 (),2020,,
ABSe0100,2B04,Ab,1.46 ng/ml, ,,SARS-CoV-2,S: RBD,32591393 (),2020,,
ABSe0101,2H04,Ab,<500 ng/ml, ,,SARS-CoV-2,S: RBD,32591393 (),2020,,
ABSe0102,COV2-2730,Ab,>10000 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0103,COV2-2848,Ab,>10000 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0104,COV2-3025,Ab,44 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0105,COV2-2196,Ab,38 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0106,COV2-2098,Ab,363 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0107,COV2-2068,Ab,371 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0108,COV2-2504,Ab,36 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0109,COV2-2308,Ab,343 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0110,COV2-2391,Ab,121 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0111,COV2-2113,Ab,357 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0112,COV2-2130,Ab,110 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0113,COV2-2050,Ab,41 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0114,COV2-2072,Ab,63 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0115,COV2-2539,Ab,126 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0116,COV2-2096,Ab,341 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0117,COV2-2819,Ab,124 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0118,COV2-2381,Ab,98 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0119,COV2-2353,Ab,1006 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0120,COV2-2919,Ab,1055 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0121,COV2-2813,Ab,337 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0122,COV2-2812,Ab,3018 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0123,COV2-2479,Ab,41 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0124,COV2-2790,Ab,336 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0125,COV2-2562,Ab,238 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0126,COV2-2752,Ab,321 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0127,COV2-2832,Ab,42 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0128,COV2-2165,Ab,336 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0129,COV2-2955,Ab,120 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0130,COV2-2499,Ab,75 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0131,COV2-2835,Ab,124 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0132,COV2-2268,Ab,279 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0133,COV2-2760,Ab,>10000 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0134,COV2-2807,Ab,371 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0135,COV2-2355,Ab,38 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0136,COV2-2733,Ab,132 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0137,COV2-2841,Ab,1024 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0138,COV2-2103,Ab,110 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0139,COV2-2677,Ab,1111 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0140,COV2-2354,Ab,991 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0141,COV2-2734,Ab,>1760 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0142,COV2-2878,Ab,>790 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0143,COV2-2678,Ab,124 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0144,COV2-2722,Ab,389 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0145,COV2-2258,Ab,1005 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0146,COV2-2514,Ab,122 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0147,COV2-2015,Ab,983 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0148,COV2-2828,Ab,2826 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0149,COV2-2552,Ab,>450 ng/ml, ,,SARS-CoV-2,S: RBD,32651581 (),2020,,
ABSe0156,414-1,Ab,1.75 nM,0.0742 nM,0.31,SARS-CoV-2,S: RBD,32668215 (nM),2020,,
ABSe0157,505-3,Ab,3 nM,0.08 nM,0.08,SARS-CoV-2,S: RBD,32668215 (nM),2020,,
ABSe0158,505-5,Ab,6 nM,0.059 nM,0.059,SARS-CoV-2,S: RBD,32668215 (nM),2020,,
ABSe0160,515-1,Ab,6 nM,0.057 nM,0.057,SARS-CoV-2,S: RBD,32668215 (nM),2020,,
ABSe0162,553-49,Ab,10 nM,0.076 nM,0.076,SARS-CoV-2,S: RBD,32668215 (nM),2020,,
ABSe0163,553-60,Ab,10 nM,5.753 nM,5.75,SARS-CoV-2,S: RBD,32668215 (nM),2020,,
ABSe0164,553-63,Ab,6 nM,0.302 nM,0.3,SARS-CoV-2,S: RBD,32668215 (nM),2020,,
ABSe0165,CnC2t1p1_B4,Ab,780 ng/ml,30 ng/ml,80,SARS-CoV-2,S: RBD,32673567 (ng/ml),2020,,
ABSe0166,CnC2t1p1_D6,Ab,3720 ng/ml,30 ng/ml,37,SARS-CoV-2,S: RBD,32673567 (ng/ml),2020,,
ABSe0167,CnC2t1p1_E12,Ab,3130 ng/ml,30 ng/ml,38,SARS-CoV-2,S: RBD,32673567 (ng/ml),2020,,
ABSe0168,CnC2t1p1_E8,Ab,4420 ng/ml,130 ng/ml,3.2,SARS-CoV-2,S: RBD,32673567 (ng/ml),2020,,
ABSe0169,CnC2t1p1_G6,Ab,12500 ng/ml,310 ng/ml,7.3,SARS-CoV-2,S: RBD,32673567 (ng/ml),2020,,
ABSe0171,FnC1t2p1_D4,Ab,280 ng/ml,20 ng/ml,0.2,SARS-CoV-2,S: RBD,32673567 (ng/ml),2020,,
ABSe0172,FnC1t2p1_G5,Ab,330 ng/ml,20 ng/ml,0.1,SARS-CoV-2,S: RBD,32673567 (ng/ml),2020,,
ABSe0173,HbnC2t1p2_D9,Ab,930 ng/ml,40 ng/ml,72,SARS-CoV-2,S: RBD,32673567 (ng/ml),2020,,
ABSe0174,HbnC3t1p1_C6,Ab,40 ng/ml,60 ng/ml,0.19,SARS-CoV-2,S: RBD,32673567 (ng/ml),2020,,
ABSe0175,HbnC3t1p1_F4,Ab,780 ng/ml,40 ng/ml,0.26,SARS-CoV-2,S: RBD,32673567 (ng/ml),2020,,
ABSe0176,HbnC3t1p1_G4,Ab,120 ng/ml,20 ng/ml,1.5,SARS-CoV-2,S: RBD,32673567 (ng/ml),2020,,
ABSe0177,HbnC3t1p2_B10,Ab,250 ng/ml,220 ng/ml,1,SARS-CoV-2,S: RBD,32673567 (ng/ml),2020,,
ABSe0178,HbnC3t1p2_C6,Ab,330 ng/ml,40 ng/ml,16,SARS-CoV-2,S: RBD,32673567 (ng/ml),2020,,
ABSe0179,HbnC4t1p1_D5,Ab,10510 ng/ml,250 ng/ml,153,SARS-CoV-2,S: RBD,32673567 (ng/ml),2020,,
ABSe0180,MnC1t3p1_G9,Ab,8840 ng/ml,330 ng/ml,34,SARS-CoV-2,S: RBD,32673567 (ng/ml),2020,,
ABSe0181,MnC2t1p1_A3,Ab,780 ng/ml,50 ng/ml,0.7,SARS-CoV-2,S: RBD,32673567 (ng/ml),2020,,
ABSe0182,MnC2t1p1_C5,Ab,3720 ng/ml,70 ng/ml,,SARS-CoV-2,S: RBD,32673567 (ng/ml),2020,,
ABSe0183,MnC2t2p1_C11,Ab,250 ng/ml,20 ng/ml,0.02,SARS-CoV-2,S: RBD,32673567 (ng/ml),2020,,
ABSe0184,MnC4t1p1_A10,Ab,42040 ng/ml,70 ng/ml,520,SARS-CoV-2,S: RBD,32673567 (ng/ml),2020,,
ABSe0185,MnC4t1p1_A11,Ab,100000 ng/ml,50 ng/ml,2000,SARS-CoV-2,S: RBD,32673567 (ng/ml),2020,,
ABSe0186,MnC4t2p1_B3,Ab,660 ng/ml,60 ng/ml,0.09,SARS-CoV-2,S: RBD,32673567 (ng/ml),2020,,
ABSe0187,MnC4t2p1_D10,Ab,21020 ng/ml,180 ng/ml,440,SARS-CoV-2,S: RBD,32673567 (ng/ml),2020,,
ABSe0188,MnC4t2p1_E6,Ab,50000 ng/ml,30 ng/ml,40,SARS-CoV-2,S: RBD,32673567 (ng/ml),2020,,
ABSe0189,MnC4t2p1_F5,Ab,100000 ng/ml,70 ng/ml,89,SARS-CoV-2,S: RBD,32673567 (ng/ml),2020,,
ABSe0190,MnC4t2p2_A4,Ab,21020 ng/ml,20 ng/ml,14,SARS-CoV-2,S: RBD,32673567 (ng/ml),2020,,
ABSe0191,MnC5t2p1_G1,Ab,2630 ng/ml,30 ng/ml,17,SARS-CoV-2,S: RBD,32673567 (ng/ml),2020,,
ABSe0192,Fab1-20,Ab,8 ng/ml, ,,SARS-CoV-2,S: RBD,32698192 (),2020,,
ABSe0193,Fab1-57,Ab,8 ng/ml, ,,SARS-CoV-2,S: RBD,32698192 (),2020,7LS9,IF0114
ABSe0196,Fab2-4,Ab,57 ng/ml, ,,SARS-CoV-2,S: RBD,32698192 (),2020,6XEY,IF0006
ABSe0197,Fab2-7,Ab,3 ng/ml, ,,SARS-CoV-2,S: RBD,32698192 (),2020,7LSS,IF0115
ABSe0198,Fab2-15,Ab,0.7 ng/ml, ,,SARS-CoV-2,S: RBD,32698192 (),2020,7L5B,IF0104
ABSe0200,Fab2-30,Ab,50 ng/ml, ,,SARS-CoV-2,S: RBD,32698192 (),2020,,
ABSe0201,Fab2-36,Ab,44 ng/ml, ,,SARS-CoV-2,S: RBD,32698192 (),2020,,
ABSe0202,Fab2-38,Ab,232 ng/ml, ,,SARS-CoV-2,S: RBD,32698192 (),2020,,
ABSe0203,Fab2-43,Ab,3 ng/ml, ,,SARS-CoV-2,S: RBD,32698192 (),2020,,IF0103
ABSe0208,Fab4-20,Ab,17 ng/ml, ,,SARS-CoV-2,S: RBD,32698192 (),2020,,
ABSe0211,EY6A,Ab,54 nM, ,2,SARS-CoV-2,S: RBD,32737466 (),2020,6ZCZ,
ABSe0212,MD17,Ab, , ,2.6,SARS-CoV-2,S: RBD,32855401 (),2020,,
ABSe0213,MD29,Ab, , ,0.4,SARS-CoV-2,S: RBD,32855401 (),2020,,
ABSe0214,MD45,Ab, , ,5.6,SARS-CoV-2,S: RBD,32855401 (),2020,,
ABSe0215,MD47,Ab, , ,0.5,SARS-CoV-2,S: RBD,32855401 (),2020,,
ABSe0216,MD62,Ab, , ,4.8,SARS-CoV-2,S: RBD,32855401 (),2020,,
ABSe0217,MD65,Ab, , ,2.5,SARS-CoV-2,S: RBD,32855401 (),2020,,
ABSe0218,MD67,Ab, , ,5.8,SARS-CoV-2,S: RBD,32855401 (),2020,,
ABSe0226,S2-E12,Ab,5.29 nM, ,1.6,SARS-CoV-2,S: RBD,32972994 (),2020,7K3Q,IF0022
ABSe0227,S2-M11,Ab,1.66 nM, ,66,SARS-CoV-2,S: RBD,32972994 (),2020,7K43,IF0021
ABSe0228,COVA2-39,Ab,54 ng/ml, ,20.9,SARS-CoV-2,S: RBD,33027617 (),2020,7JMP,IF0085
ABSe0229,TAU-1109,Ab,45 ng/ml, ,0.68,SARS-CoV-2,S: RBD,33052341 (),2021,,
ABSe0230,TAU-1115,Ab,123 ng/ml, ,8,SARS-CoV-2,S: RBD,33052341 (),2021,,
ABSe0231,TAU-1145,Ab,1051 ng/ml, ,15.7,SARS-CoV-2,S: RBD,33052341 (),2021,,
ABSe0232,TAU-2189,Ab,470 ng/ml, ,18.2,SARS-CoV-2,S: RBD,33052341 (),2021,,
ABSe0233,TAU-2230,Ab,225 ng/ml, ,29,SARS-CoV-2,S: RBD,33052341 (),2021,,
ABSe0234,TAU-2212,Ab,89 ng/ml, ,,SARS-CoV-2,S: RBD,33052341 (),2021,,
ABSe0235,TAU-2220,Ab,3894 ng/ml, ,11.1,SARS-CoV-2,S: RBD,33052341 (),2021,,
ABSe0236,TAU-2303,Ab,132 ng/ml, ,9.85,SARS-CoV-2,S: RBD,33052341 (),2021,,
ABSe0237,TAU-2310,Ab,72 ng/ml, ,2.84,SARS-CoV-2,S: RBD,33052341 (),2021,,
ABSe0238,CV05-163,Ab,16.3 ng/ml,3.8 ng/ml,0.22,SARS-CoV-2,S: RBD,33058755 (ng/ml),2020,7LOP,
ABSe0239,CV07-200,Ab,14.5 ng/ml,9 ng/ml,,SARS-CoV-2,S: RBD,33058755 (ng/ml),2020,,
ABSe0240,CV07-209,Ab,3.1 ng/ml,4.1 ng/ml,0.006,SARS-CoV-2,S: RBD,33058755 (ng/ml),2020,,
ABSe0241,CV07-222,Ab,7.8 ng/ml,5.5 ng/ml,0.00697,SARS-CoV-2,S: RBD,33058755 (ng/ml),2020,,
ABSe0242,CV07-250,Ab,3.5 ng/ml,8.7 ng/ml,0.0564,SARS-CoV-2,S: RBD,33058755 (ng/ml),2020,6XKQ,IF0008
ABSe0243,CV07-255,Ab,14.5 ng/ml,4.8 ng/ml,,SARS-CoV-2,S: RBD,33058755 (ng/ml),2020,,
ABSe0244,CV07-262,Ab,7.1 ng/ml,12.1 ng/ml,0.079,SARS-CoV-2,S: RBD,33058755 (ng/ml),2020,,
ABSe0245,CV07-270,Ab,82.3 ng/ml,14.2 ng/ml,,SARS-CoV-2,S: RBD,33058755 (ng/ml),2020,6XKP,IF0007
ABSe0246,CV07-283,Ab,16.9 ng/ml,4 ng/ml,0.0475,SARS-CoV-2,S: RBD,33058755 (ng/ml),2020,,
ABSe0247,CV07-287,Ab,41.7 ng/ml,5.9 ng/ml,0.16,SARS-CoV-2,S: RBD,33058755 (ng/ml),2020,,
ABSe0248,CV07-315,Ab,24.9 ng/ml,7.2 ng/ml,0.0112,SARS-CoV-2,S: RBD,33058755 (ng/ml),2020,,
ABSe0249,CV38-113,Ab,20.8 ng/ml,5.2 ng/ml,0.134,SARS-CoV-2,S: RBD,33058755 (ng/ml),2020,,
ABSe0250,CV38-139,Ab,73.2 ng/ml,8.9 ng/ml,0.277,SARS-CoV-2,S: RBD,33058755 (ng/ml),2020,,
