Entry,Antibody name,Type,IC50,EC50,Binding Affinity (KD),Neutralizes,Viral protein:epitope,PMID,Year,Structures,Mutational profile
ABSe0732,P054_027,Ab,>100000 ng/ml,10 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0735,P054_050,Ab,>100000 ng/ml,50 ng/ml,,SARS-CoV-2,S: RBD,33836142 (ng/ml),2021,,
ABSe0737,Goike-N3-1,Ab,0.25 nM, ,,SARS-CoV-2,S: RBD,33851158 (),2021,,
ABSe0749,Goike-N3-3,Ab,13.1 nM, ,,SARS-CoV-2,S: RBD,33851158 (),2021,,
ABSe0750,Goike-1D4,Ab,25.5 nM, ,,SARS-CoV-2,S: RBD,33851158 (),2021,,
ABSe0751,Goike-N3-7,Ab,27.7 nM, ,,SARS-CoV-2,S: RBD,33851158 (),2021,,
ABSe0752,Goike-6-3A,Ab,32 nM, ,,SARS-CoV-2,S: RBD,33851158 (),2021,,
ABSe0754,Goike-8B5,Ab,34.8 nM, ,,SARS-CoV-2,S: RBD,33851158 (),2021,,
ABSe0757,Goike-4A5,Ab,65.7 nM, ,,SARS-CoV-2,S: RBD,33851158 (),2021,,
ABSe0758,Goike-6-3B,Ab,81.5 nM, ,,SARS-CoV-2,S: RBD,33851158 (),2021,,
ABSe0761,Goike-1D1,Ab,173 nM, ,,SARS-CoV-2,S: RBD,33851158 (),2021,,
ABSe0762,Goike-1D9,Ab,183 nM, ,,SARS-CoV-2,S: RBD,33851158 (),2021,,
ABSe0766,Goike-8-19,Ab,>300 nM, ,,SARS-CoV-2,S: RBD,33851158 (),2021,,
ABSe0767,Goike-3-18,Ab,>300 nM, ,,SARS-CoV-2,S: RBD,33851158 (),2021,,
ABSe0769,Goike-6-3c,Ab,>300 nM, ,,SARS-CoV-2,S: RBD,33851158 (),2021,,
ABSe0770,Goike-4A7,Ab,>300 nM, ,,SARS-CoV-2,S: RBD,33851158 (),2021,,
ABSe0771,Goike-1D5,Ab,>300 nM, ,,SARS-CoV-2,S: RBD,33851158 (),2021,,
ABSe0773,S2X259,Ab,213.2 ng/ml,<30 ng/ml,0.08,SARS-CoV-2,S: RBD,33851169 (ng/ml),2021,7M7W,
ABSe0823,CA521,Ab,0.343 nM,0.014 nM,0.698,SARS-CoV-2,S: RBD,33893388 (nM),2021,7E+23,IF0075
ABSe0833,Zhou_28D5,Ab,3.3 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0834,Zhou_47F2,Ab,3.9 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0835,Zhou_34E5,Ab,4.1 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0836,Zhou_472C6,Ab,4.1 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0837,Zhou_282F4,Ab,4.7 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0838,Zhou_282A1,Ab,4.9 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0839,Zhou_28G5,Ab,5.4 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0840,Zhou_472D6,Ab,5.4 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0841,Zhou_282A2,Ab,5.4 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0842,Zhou_47F1,Ab,5.8 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0843,Zhou_47D1,Ab,6 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,7MF1,IF0127
ABSe0844,Zhou_28F1,Ab,8 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0845,Zhou_47A4,Ab,8.4 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0846,Zhou_47B2,Ab,9.1 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0847,Zhou_28C5,Ab,9.1 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0848,Zhou_47B6,Ab,9.7 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0849,Zhou_282C3,Ab,10 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0850,Zhou_282D1,Ab,10.7 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0851,Zhou_47F4,Ab,10.9 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0852,Zhou_28H5,Ab,11.1 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0853,Zhou_282B2,Ab,11.2 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0854,Zhou_472G6,Ab,12.3 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0855,Zhou_28E1,Ab,12.6 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0856,Zhou_282B3,Ab,11.2 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0857,Zhou_28B5,Ab,13.1 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0858,Zhou_28A5,Ab,14.3 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0859,Zhou_282H4,Ab,15.5 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0860,Zhou_28B32,Ab,16.8 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0861,Zhou_28F2,Ab,17 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0862,Zhou_34H5,Ab,17 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0863,Zhou_282E1,Ab,22.2 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0864,Zhou_282H2,Ab,23.2 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0865,Zhou_282E3,Ab,23.3 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0866,Zhou_47G5,Ab,24 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0867,Zhou_282F3,Ab,24.7 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0868,Zhou_28B4,Ab,25.2 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0869,Zhou_282G1,Ab,25.5 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0870,Zhou_282C4,Ab,25.6 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0871,Zhou_282A3,Ab,26.3 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0872,Zhou_282E2,Ab,26.8 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0873,Zhou_282A5,Ab,28.3 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0874,Zhou_47A5,Ab,31 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0875,Zhou_282D4,Ab,31.1 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0876,Zhou_28C6,Ab,32.2 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0877,Zhou_472F6,Ab,32.2 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0878,Zhou_28F3,Ab,33.1 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0879,Zhou_282C1,Ab,35.4 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0880,Zhou_34B6,Ab,38 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0881,Zhou_28E5,Ab,43 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0882,Zhou_34F5,Ab,46.5 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0883,Zhou_282H1,Ab,49.6 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0884,Zhou_282H3,Ab,51.3 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0885,Zhou_34H6,Ab,52.6 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0886,Zhou_47D4,Ab,80.5 ng/ml, ,,SARS-CoV-2,S: RBD,33932326 (),2021,,
ABSe0899,CM32,Ab,2100 ng/ml, ,6,SARS-CoV-2,S: RBD,33947773 (),2021,,
ABSe0903,mAb-3A2,Ab, , ,2.4,SARS-CoV-2,S: RBD,33958613 (),2021,,
ABSe0904,mAb-3A7,Ab, , ,1.9,SARS-CoV-2,S: RBD,33958613 (),2021,,
ABSe0905,mAb-3F5,Ab, , ,0.9,SARS-CoV-2,S: RBD,33958613 (),2021,,
ABSe0906,mAb-3C6,Ab, , ,4.8,SARS-CoV-2,S: RBD,33958613 (),2021,,
ABSe0907,mAb-3B3,Ab, , ,1.4,SARS-CoV-2,S: RBD,33958613 (),2021,,
ABSe0934,PR953,Ab,14.4 ng/ml,2.58 ng/ml,<0.001,SARS-CoV-2,S: RBD,33961621 (ng/ml),2021,7DEU,IF0074
ABSe0935,PR961,Ab,570.1 ng/ml,3.21 ng/ml,0.05067,SARS-CoV-2,S: RBD,33961621 (ng/ml),2021,7DET,IF0073
ABSe0936,PR1077,Ab,27.9 ng/ml,2.58 ng/ml,2.33,SARS-CoV-2,S: RBD,33961621 (ng/ml),2021,7DEO,IF0072
ABSe0937,Asarnow_3D11,Ab,120.8 ng/ml, ,1.6,SARS-CoV-2,S: RBD,33974910 (),2021,7KQE,IF0097
ABSe0938,Asarnow_5A6,Ab,140.7 ng/ml, ,7.6,SARS-CoV-2,S: RBD,33974910 (),2021,7KQB,IF0125
ABSe0939,CC36.3,Ab,3000 ng/ml, ,0.74,SARS-CoV-2,S: RBD,34011939 (),2021,,
ABSe0941,CC40.1,Ab,100 ng/ml, ,0.95,SARS-CoV-2,S: RBD,34011939 (),2021,,
ABSe0942,BG1-24,Ab,4 ng/ml, ,,SARS-CoV-2,S: RBD,34015271 (),2021,7M6I,IF0124
ABSe0943,BG7-20,Ab,7 ng/ml, ,,SARS-CoV-2,S: RBD,34015271 (),2021,7M6H,IF0123
ABSe0944,BG7-15,Ab,16 ng/ml, ,,SARS-CoV-2,S: RBD,34015271 (),2021,7M6G,IF0122
ABSe0945,BG1-22,Ab,23 ng/ml, ,,SARS-CoV-2,S: RBD,34015271 (),2021,7M6F,IF0121
ABSe0946,BG4-25,Ab,3 ng/ml, ,,SARS-CoV-2,S: RBD,34015271 (),2021,7M6D,
ABSe0947,BG1-12,Ab,1151 ng/ml, ,,SARS-CoV-2,S: RBD,34015271 (),2021,,
ABSe0948,BG1-14,Ab,20 ng/ml, ,,SARS-CoV-2,S: RBD,34015271 (),2021,,
ABSe0949,BG1-17,Ab,24883 ng/ml, ,,SARS-CoV-2,S: RBD,34015271 (),2021,,
ABSe0950,BG1-23,Ab,9 ng/ml, ,,SARS-CoV-2,S: RBD,34015271 (),2021,,
ABSe0951,BG1-25,Ab,91 ng/ml, ,,SARS-CoV-2,S: RBD,34015271 (),2021,,
ABSe0952,BG1-26,Ab,36 ng/ml, ,,SARS-CoV-2,S: RBD,34015271 (),2021,,
ABSe0953,BG1-28,Ab,10398 ng/ml, ,,SARS-CoV-2,S: RBD,34015271 (),2021,,
ABSe0954,BG1-6,Ab,1178 ng/ml, ,,SARS-CoV-2,S: RBD,34015271 (),2021,,
ABSe0955,BG10-10,Ab,99 ng/ml, ,,SARS-CoV-2,S: RBD,34015271 (),2021,,
ABSe0956,BG10-14,Ab,12318 ng/ml, ,,SARS-CoV-2,S: RBD,34015271 (),2021,,
ABSe0957,BG4-10,Ab,5530 ng/ml, ,,SARS-CoV-2,S: RBD,34015271 (),2021,,
ABSe0958,BG4-11,Ab,11335 ng/ml, ,,SARS-CoV-2,S: RBD,34015271 (),2021,,
ABSe0959,BG4-14,Ab,878 ng/ml, ,,SARS-CoV-2,S: RBD,34015271 (),2021,,
ABSe0960,BG4-16,Ab,806 ng/ml, ,,SARS-CoV-2,S: RBD,34015271 (),2021,,
ABSe0961,BG4-17,Ab,24 ng/ml, ,,SARS-CoV-2,S: RBD,34015271 (),2021,,
ABSe0962,BG4-24,Ab,13 ng/ml, ,,SARS-CoV-2,S: RBD,34015271 (),2021,,
ABSe0963,BG4-26,Ab,16 ng/ml, ,,SARS-CoV-2,S: RBD,34015271 (),2021,,
ABSe0964,BG7-14,Ab,385 ng/ml, ,,SARS-CoV-2,S: RBD,34015271 (),2021,,
ABSe0965,BG7-16,Ab,3599 ng/ml, ,,SARS-CoV-2,S: RBD,34015271 (),2021,,
ABSe0966,BG7-18,Ab,83 ng/ml, ,,SARS-CoV-2,S: RBD,34015271 (),2021,,
ABSe0967,BG7-19,Ab,2735 ng/ml, ,,SARS-CoV-2,S: RBD,34015271 (),2021,,
ABSe0968,Shiakolas_5317-2,Ab,82.9 ng/ml, ,1.95,SARS-CoV-2,S: RBD,34100018 (),2021,,
